FIELD_0	FIELD_1	FIELD_2	FIELD_3	FIELD_4	FIELD_5	FIELD_6	FIELD_7	FIELD_8	FIELD_9	FIELD_10	FIELD_11	FIELD_12	FIELD_13
false	0	0	0.23	0.23	'0xxxxxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:00.000'	false	0	0	0.23	0.23	'0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:00.000'
false	1000	1000	1.23	1.23	'1000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:01.000'	false	1000	1000	1.23	1.23	'1000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:01.000'
false	2000	2000	2.23	2.23	'2000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:02.000'	false	2000	2000	2.23	2.23	'2000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:02.000'
false	3000	3000	3.23	3.23	'3000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:03.000'	false	3000	3000	3.23	3.23	'3000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:03.000'
false	4000	4000	4.23	4.23	'4000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:04.000'	false	4000	4000	4.23	4.23	'4000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:04.000'
false	5000	5000	5.23	5.23	'5000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:05.000'	false	5000	5000	5.23	5.23	'5000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:05.000'
false	6000	6000	6.23	6.23	'6000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:06.000'	false	6000	6000	6.23	6.23	'6000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:06.000'
false	7000	7000	7.23	7.23	'7000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:07.000'	false	7000	7000	7.23	7.23	'7000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:07.000'
false	8000	8000	8.23	8.23	'8000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:08.000'	false	8000	8000	8.23	8.23	'8000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:08.000'
false	9000	9000	9.23	9.23	'9000xxxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:09.000'	false	9000	9000	9.23	9.23	'9000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:09.000'
false	10000	10000	10.23	10.23	'10000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:10.000'	false	10000	10000	10.23	10.23	'10000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:10.000'
false	11000	11000	11.23	11.23	'11000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:11.000'	false	11000	11000	11.23	11.23	'11000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:11.000'
false	12000	12000	12.23	12.23	'12000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:12.000'	false	12000	12000	12.23	12.23	'12000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:12.000'
false	13000	13000	13.23	13.23	'13000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:13.000'	false	13000	13000	13.23	13.23	'13000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:13.000'
false	14000	14000	14.23	14.23	'14000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:14.000'	false	14000	14000	14.23	14.23	'14000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:14.000'
false	15000	15000	15.23	15.23	'15000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:00:15.000'	false	15000	15000	15.23	15.23	'15000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:00:15.000'
